epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
90,140.944,0.79787,0.57605,1.11431,0.83026,0,0.78333,0.68571,0.81336,0.49594,0.85115,0.62857,0.76199,0.32191,1.09825,1.02294,1.07835,0.90362,0,0.000198206,0.000198206,0.000198206
91,144.774,0.86569,0.4677,1.54976,0.85986,0,0.92689,0.6,0.79945,0.50385,0.83987,0.6,0.74804,0.34147,1.06185,1.01417,1.08005,0.89677,0,0.000181703,0.000181703,0.000181703
92,146.226,0.73508,0.59825,1.35927,0.85803,0,0.9064,0.62857,0.8114,0.50492,0.8652,0.6,0.74683,0.33525,1.07079,1.00094,1.09323,0.90578,0,0.0001652,0.0001652,0.0001652
93,147.552,0.73444,0.77115,1.45718,0.83984,0,0.9064,0.62857,0.8114,0.50492,0.8652,0.6,0.74683,0.33525,1.07079,1.00094,1.09323,0.90578,0,0.000148696,0.000148696,0.000148696
94,148.888,0.8134,0.56913,1.46826,0.88954,0,0.76434,0.64889,0.79133,0.49519,0.87427,0.6,0.74707,0.33129,1.06361,0.99546,1.08347,0.90934,0,0.000132193,0.000132193,0.000132193
95,150.253,0.75982,0.48961,1.41546,0.87327,0,0.95565,0.616,0.79959,0.48703,0.91183,0.59124,0.74187,0.3225,1.06468,0.98754,1.07998,0.91195,0,0.00011569,0.00011569,0.00011569
96,151.598,0.82756,0.70255,1.45456,0.8467,0,0.87461,0.57143,0.7652,0.47332,0.87461,0.57143,0.73524,0.31455,1.07463,0.9798,1.08421,0.91307,0,9.91865e-05,9.91865e-05,9.91865e-05
97,152.952,0.76658,0.59081,1.41308,0.81899,0,0.87461,0.57143,0.7652,0.47332,0.87461,0.57143,0.73524,0.31455,1.07463,0.9798,1.08421,0.91307,0,8.26832e-05,8.26832e-05,8.26832e-05
98,154.305,0.75535,0.70001,1.42134,0.84106,0,0.86971,0.57218,0.75733,0.45987,0.86971,0.57218,0.7262,0.30161,1.0903,0.98268,1.09195,0.91479,0,6.61799e-05,6.61799e-05,6.61799e-05
99,155.782,0.77958,0.56737,1.42436,0.84796,0,0.66796,0.68571,0.76104,0.46447,0.7633,0.57143,0.69351,0.29592,1.09797,0.98785,1.08259,0.91433,0,4.96766e-05,4.96766e-05,4.96766e-05
100,157.143,0.78366,0.44345,1.40338,0.87426,0,0.81323,0.6,0.75891,0.46088,0.75659,0.57143,0.68885,0.2973,1.11593,0.98999,1.08954,0.91958,0,3.31733e-05,3.31733e-05,3.31733e-05
